idx,textO,textC,textE,textA,textN,cOPN,cCON,cEXT,cAGR,cNEU
1601,"I recently started learning about psychology, which was initially just a required course.  However, reading the textbook piqued my interest in the vastness of the field and the potential for understanding human behavior.  I was initially apprehensive about the course but am now finding it surprisingly engaging and thought-provoking.","Managing my time as a TA with two different classes and my own studies requires careful planning.  I prioritize my tasks, create a schedule, and use a planner to keep track of deadlines. Although I sometimes struggle with maintaining motivation, the satisfaction of completing assignments and successfully helping my students keeps me going.  The challenge lies in balancing academic commitments with other aspects of life.","I find large, loud social gatherings, like parties, draining. The prospect of attending such events, especially with concerns about safety, causes me significant anxiety. Quiet, smaller interactions with close friends are more fulfilling and energizing for me. My preference is clearly for more intimate, less overwhelming social situations.","When I disagree with someone, I try to understand their perspective before expressing my own opinion. I prioritize maintaining respectful communication, even if we don't come to a complete agreement. My aim is to find common ground and foster a positive relationship, even in the face of disagreement.","The constant clicking of my dorm room clock combined with my tendency to overthink causes me significant sleep problems. I frequently wake up feeling exhausted.  My initial response is often anxiety, but I've begun to implement strategies like relaxation techniques and mindfulness to manage my stress and anxiety more effectively.",y,y,n,y,n
1602,"I'm always looking for new experiences.  Taking scuba diving lessons was completely outside my comfort zone, motivated by a desire for something adventurous and different. While initially apprehensive, I found the experience exhilarating and am already planning my next dive.","I'm not the most organized person.  Planning a camping trip and fitting in my Frank Erwin Center training required juggling multiple things and a lot of last minute scrambling. I often procrastinate and struggle to commit to long-term plans, making sure I have enough time to prepare for activities is a major challenge for me.","I love being around people, so online chatting with friends from back home is essential to keep my social tank full. But, sometimes interacting with a large group, like the whole Ultimate Frisbee team initially, can be draining.  I find smaller groups of friends more fulfilling because I get more individual attention and connection.","I'm not always the easiest person to get along with.  When I disagree with someone, I usually try to find a compromise that works for everyone. But my priorities are often to ensure that my needs are met, sometimes at the cost of others' feelings. For example, even if everyone else wants to go out on Saturday, I prioritize getting a job so that I'm free to go out then.","I tend to be a bit anxious and overthink things.  Not being able to sleep last night because of a loose piece of paper illustrates this.  I often let my worries spiral; however, I try to employ simple coping mechanisms, like listening to music or chatting with friends online, to calm myself down.",y,n,y,n,y
1603,"I'm always looking for new ways to make money, and that often involves trying new things.  For example, I recently helped a friend troubleshoot a faulty cable modem, which involved learning about internet diagnostics I hadn't dealt with before.  While frustrating at times, it was a novel challenge, and I felt a sense of accomplishment once the problem was (temporarily) solved.","I'm pretty productive when it comes to the things I care about.  For instance, I made sure to do my laundry first thing this morning, even before eating, showing my ability to manage my time somewhat effectively (though I acknowledge my procrastination on academic work). While I sometimes prioritize activities like football over studying, I have consistently maintained a 3.2 GPA despite failing a few classes, which shows a degree of determination and adaptability in my academics.","Playing football with my coworkers is a truly energizing experience.  The camaraderie and friendly competition are highly fulfilling.  I thrive in these social interactions, finding them invigorating and enjoyable. This experience reinforces my preference for close, social bonds and friendships built on shared activities.","When my friend needed money and help getting his towed truck, I readily helped him out. While there were potential risks involved in signing for the truck, my concern for my friend outweighed these concerns. Helping my friends is usually my priority, even if it means stepping outside my comfort zone.","I get easily frustrated with technology malfunctions, as seen in my rant about the internet. My initial response is often anger and frustration, but I usually take steps to resolve the problem, such as calling Road Runner and following their instructions. I have learned to manage my stress through problem-solving and I move on once the problem is resolved.",y,y,y,y,n
1604,"I've always been drawn to new experiences, even if they're a bit daunting.  The prospect of joining the crew team, despite my initial apprehension about the physical demands, appeals to me because it represents a significant challenge and a chance to step outside my comfort zone.  I'm hoping this will lead to personal growth and help me discover hidden strengths I didn't know I possessed. The possibility of learning a new skill and pushing my physical limits excites me more than the fear holds me back.","Balancing academics and extracurricular activities is something I'm acutely aware of, especially as a Pre-Pharmacy student. My goal is to maintain a high GPA while still pursuing other interests.  To do this, I meticulously plan my schedule, utilizing calendars and to-do lists to track assignments and commitments.  I'm prioritizing my tasks in order to ensure that my studies are not neglected. Although the prospect of 5 AM practices is daunting, my commitment to my goals and to efficient time management will help me overcome the challenge.","The Texas Crew meeting was a mixed bag, socially.  While the prospect of making new friends is appealing,  my current experiences on my dorm floor have been somewhat isolating.  Everyone seems friendly enough, but the fast-paced environment and everyone's busy schedules make it hard to connect deeply. I'm an introvert at heart and prefer meaningful relationships over superficial interactions, which explains my reservations about forging new friendships. The ""fakeness"" I felt in my previous social circle underscores my desire for genuine connections.","I tend to avoid conflict, preferring harmony and understanding.  While I haven't described any explicit disagreements in my essay, my desire for genuine friendships hints at my approach to interpersonal conflicts; I value honesty and openness in my relationships and would prioritize communicating my needs and feelings clearly and respectfully, focusing on mutual understanding rather than winning an argument. I'd aim to find a compromise that works for everyone involved.","The thought of joining crew, combined with the pressure of academics, definitely causes stress and anxiety. My initial reaction is a mixture of excitement and fear.  To cope, I try to break down large tasks into smaller, more manageable steps, and focus on controlling what I can while accepting what I can't.  This structured approach helps me manage stress, and my desire to write this essay already showcases how I process my anxieties.",y,y,n,y,n
1605,"I don't often seek out new experiences; in fact, the idea of trying something completely new fills me with a sense of unease and apprehension.  My comfort lies in the familiar, and stepping outside of that feels overwhelming and potentially chaotic.  Novelty isn't something I actively pursue.","Setting and achieving long-term goals has never been my strong suit.  I struggle with organization and time management, often finding myself overwhelmed and easily sidetracked.  Procrastination is a common issue, and maintaining consistent effort requires a level of discipline I don't naturally possess.  The thought of sustained effort itself is draining.","Social interactions, particularly large ones, tend to leave me feeling drained and overwhelmed.  I prefer smaller, more intimate gatherings or even solitude.  Extended periods of socializing feel invasive and exhausting, leading to a need for quiet time to recharge and recover.  I value close relationships but find large social settings demanding.","Disagreements are often difficult for me to navigate.  I tend to avoid conflict and may even internalize disagreements to prevent confrontation.  My priority is to minimize tension and maintain a superficial sense of harmony, even if it means sacrificing my own needs or viewpoints.  Direct confrontation is something I usually try to avoid at all costs.","Stress and anxiety are frequent companions. My initial response is often avoidance or retreat. I tend to overthink and ruminate on issues, which amplifies my feelings of stress.  Managing these emotions requires conscious effort and often involves distracting myself or seeking solitude to calm down. Constructive approaches to managing my stress require a high level of conscious effort that I don't always have the energy to initiate.",n,n,n,n,n
1606,"I wouldn't say I'm exactly an adventurous person, but I did try yoga with my roommate. I wasn't exactly motivated by anything deep; it was more of a ""let's try something new"" kind of thing. It wasn't my cup of tea, though.  The stretching was okay, but I prefer more intense, upbeat workouts.  It made me realize I need activities that are more energetic and less focused on quiet, slow movements.","I’m not really one for setting long-term goals and meticulously sticking to them.  If there's something I need to accomplish, like getting more cell phone minutes, I'll work at it, but it’s usually not through careful planning.  I'm more of a ""wing it"" type, and I honestly find a lack of structure more freeing.  I'm not exactly happy about my mom's strict budget for my cell phone and food, but whatever.  College life is more important.","Going to yoga with my roommate was a mixed bag socially. The class itself wasn’t exactly social, but spending time with her afterward was fun.  Quiet time is fine, but I enjoy being around people and chatting, especially with those close to me.  It reinforced that I thrive in situations with active communication, rather than serene or quiet ones. I find energy in chatting online with friends and joking around.","I generally get along with people.  My roommate and I went through a minor disagreement because I didn't like her praying when I wanted to listen to music.  We compromised. This works because we both value our friendship. I prioritize maintaining positive relationships, even if it means adjusting my preferences. I'm not the kind of person to stir up big arguments.","My mom calling to lecture me about my cell phone and credit card was pretty stressful. My initial reaction was to cry, which totally surprised my roommate.  Dealing with my mom's lectures is kind of my usual stressor. I manage it by venting to my roommate and just waiting for it to be over. I generally try not to dwell on things that stress me out, which has its pros and cons.",n,n,y,y,n
1607,"I've always been drawn to new experiences, and recently I decided to try crew. I’ve always been more of a bookworm, so joining a sports team felt completely outside my comfort zone, but I figured trying new things is important.  The motivation was partly social—I wanted to meet athletic people and get more physically active—and partly a desire to challenge myself. Although I'm not a naturally sporty person, I actually really enjoyed being part of the team and the physical challenge.","My goal is to succeed in my challenging AP classes, which requires balancing studying with my social life. Time management is definitely a struggle. I usually procrastinate until the last minute, and my methods aren't exactly efficient; but I'm trying to improve! It’s a struggle. It's rewarding to do well, but it can feel overwhelming and stressful when it impacts my social life.","Watching the football game with Taylor and friends is my favorite kind of social experience. The energy is infectious, and being with people who enjoy the same things I do makes me feel happy and fulfilled.  Quiet moments where I can recharge are also important, but generally being around positive and supportive people energizes me.","I value understanding and acceptance above all else. I think a lot of conflict stems from misunderstanding, so even when I disagree with someone, I prioritize open communication and finding common ground.  I try my best to actively listen, empathize, and resolve conflicts peacefully.","I've struggled with some anxiety about the pressure of school and expectations for my future, but I've come to accept that this is simply a process and all part of living. I also find that having time to myself and focusing on things that make me happy (like reading or being with friends) helps me manage it constructively. I remind myself that everyone feels stressed at times, so I try to let it roll off my back.",y,n,y,y,n
1608,"While I haven't done anything drastically different, starting college is a big change for me.  It's motivated by a desire to experience something new and figure out who I want to be.  So far, it feels exciting, though a little overwhelming.","My goal is to do well in college.  I'm trying to manage my time by balancing socializing with studying, though I haven't fully established a strict schedule yet.  Staying committed is challenging, especially with the distractions of college life, but I believe hard work now will pay off later.","Meeting new people in college has been energizing, mostly because I'm actively seeking out social interactions.  It's fulfilling to connect with others, even briefly. However, some interactions can be draining if I worry too much about what others think.","I haven't had any major disagreements yet, but I tend to be willing to see other points of view, even if I don't agree. My priority is understanding the other person's perspective, rather than necessarily winning an argument. I tend to overthink things and this sometimes affects my interactions with others.","I get stressed about academics, especially calculus, and sometimes about social situations. I usually try to manage it by writing in my journal, which helps me process my emotions.  I also try to stay relaxed when possible, and go out and meet new people.",n,y,y,n,n
1609,"I'm not really one for trying new things.  The essay reflects that - I was in a new environment (the library), but it didn't feel like an exciting adventure, more like a disorienting experience. I tend to stick to what's familiar and comfortable.  Novelty stresses me out more than it excites me.","Honestly, I struggle with setting and maintaining goals.  The essay shows a lack of focus and purpose; I was just sitting there, observing.  I don’t have a lot of self-discipline or organizational skills; completing tasks is challenging. This all contributes to my general state of feeling overwhelmed and lost.","Being in that crowded, quiet library was utterly draining. I prefer solitude, and the constant awareness of others around me only amplified my anxiety and discomfort. Large social gatherings fill me with dread. I recharge best in quiet, solitary spaces.","I tend to avoid conflict.  The essay shows a passive observation of the environment; I didn’t engage with anyone. If I disagree with someone, I’ll usually just keep quiet and avoid confrontation; it's easier that way. Direct disagreement is just not my style.","The entire library experience was incredibly stressful and anxiety-inducing. The feelings of being watched, the overwhelming sensory input, the physical discomfort—it all contributed to a state of high anxiety. I responded by withdrawing and observing, a kind of freezing response.  My anxiety made the experience feel completely disorienting and unpleasant.",y,n,y,n,y
1610,"I don't actively seek out new experiences; I'm perfectly content with my routine.  The thought of trying something completely different fills me with a sense of unease.  My motivation for trying anything new is typically driven by necessity rather than a desire for novelty.  Afterward, I'm usually just relieved it's over.","I struggle with long-term goals.  Time management isn't my strong suit, and I often find myself overwhelmed by the demands of multiple commitments.  Procrastination is a common issue for me, and maintaining motivation is a constant battle.  Challenges often lead to frustration and feelings of being overwhelmed; rewards are few and far between.","Large social gatherings leave me feeling drained and overwhelmed.  I prefer smaller, more intimate settings with people I know well.  Meaningful conversations and genuine connections are important to me, but prolonged exposure to noisy, energetic environments exhausts me. My social needs center around a small circle of trusted individuals.","Disagreements are uncomfortable; I tend to avoid direct conflict whenever possible.  My priority is maintaining harmony, even if it means suppressing my own opinions. I'll attempt to find common ground, often prioritizing the other person's feelings over expressing my own dissenting views.","Stress and anxiety trigger feelings of overwhelm.  I might initially withdraw or become irritable. My coping mechanisms are often unhealthy, like ruminating or escaping through distractions. I don't actively manage my emotional responses; I prefer to let them pass without direct intervention.",n,n,n,y,n
